2	0.475	0.355	0.12	0.48	0.234	0.1015	0.135
0	0.6	0.47	0.15	0.922	0.363	0.194	0.305
0	0.615	0.475	0.17	1.1025	0.4695	0.2355	0.345
2	0.43	0.35	0.11	0.406	0.1675	0.081	0.135
0	0.44	0.34	0.1	0.451	0.188	0.087	0.13
2	0.365	0.295	0.08	0.2555	0.097	0.043	0.1
2	0.49	0.38	0.135	0.5415	0.2175	0.095	0.19
1	0.325	0.245	0.07	0.161	0.0755	0.0255	0.045
1	0.52	0.41	0.12	0.595	0.2385	0.111	0.19
2	0.58	0.45	0.14	1.013	0.38	0.216	0.36
2	0.555	0.425	0.13	0.7665	0.264	0.168	0.275
0	0.525	0.425	0.16	0.8355	0.3545	0.2135	0.245
2	0.59	0.445	0.14	0.931	0.356	0.234	0.28
2	0.355	0.28	0.095	0.2455	0.0955	0.062	0.075
2	0.52	0.4	0.12	0.58	0.234	0.1315	0.185
0	0.6	0.475	0.15	1.0075	0.4425	0.221	0.28
0	0.57	0.465	0.18	1.295	0.339	0.2225	0.44
2	0.355	0.28	0.095	0.2455	0.0955	0.062	0.075
0	0.475	0.39	0.12	0.5305	0.2135	0.1155	0.17
2	0.485	0.36	0.13	0.5415	0.2595	0.096	0.16
2	0.425	0.325	0.095	0.3785	0.1705	0.08	0.1
0	0.58	0.45	0.185	0.9955	0.3945	0.272	0.285
0	0.54	0.475	0.155	1.217	0.5305	0.3075	0.34
0	0.45	0.355	0.105	0.5225	0.237	0.1165	0.145
2	0.555	0.425	0.13	0.7665	0.264	0.168	0.275
2	0.45	0.32	0.1	0.381	0.1705	0.075	0.115
0	0.44	0.34	0.1	0.451	0.188	0.087	0.13
0	0.52	0.425	0.165	0.9885	0.396	0.225	0.32
0	0.52	0.425	0.165	0.9885	0.396	0.225	0.32
2	0.47	0.37	0.12	0.5795	0.293	0.227	0.14
2	0.44	0.365	0.125	0.516	0.2155	0.114	0.155
0	0.605	0.45	0.195	1.098	0.481	0.2895	0.315
2	0.465	0.355	0.105	0.4795	0.227	0.124	0.125
1	0.325	0.245	0.07	0.161	0.0755	0.0255	0.045
1	0.355	0.28	0.085	0.2905	0.095	0.0395	0.115
0	0.545	0.425	0.125	0.768	0.294	0.1495	0.26
0	0.47	0.36	0.12	0.4775	0.2105	0.1055	0.15
0	0.53	0.41	0.13	0.6965	0.302	0.1935	0.2
1	0.31	0.235	0.07	0.151	0.063	0.0405	0.045
0	0.68	0.56	0.165	1.639	0.6055	0.2805	0.46
0	0.605	0.45	0.195	1.098	0.481	0.2895	0.315
0	0.595	0.475	0.17	1.247	0.48	0.225	0.425
2	0.355	0.29	0.09	0.3275	0.134	0.086	0.09
0	0.55	0.415	0.135	0.7635	0.318	0.21	0.2
0	0.57	0.465	0.18	1.295	0.339	0.2225	0.44
2	0.43	0.35	0.11	0.406	0.1675	0.081	0.135
0	0.47	0.355	0.1	0.4755	0.1675	0.0805	0.185
0	0.53	0.42	0.135	0.677	0.2565	0.1415	0.21
2	0.355	0.28	0.095	0.2455	0.0955	0.062	0.075
0	0.525	0.425	0.16	0.8355	0.3545	0.2135	0.245
2	0.595	0.475	0.14	0.944	0.3625	0.189	0.315
